CollectionName,CollectionTitle,CollectionType,WidgetId,WidgetTitle,WidgetName,WidgetPosition,WidgetInventoryType,PageName,PageId,PageTitle,SolrQuery,CreatedAt,UpdatedAt
search_collection_nocashinwofood,,dynamic,f6c3d7ab-0d84-4626-902c-4d70d5e6cd15,URL_BROWSE_HEADERS_REDEEM,URL_BROWSE_HEADERS_REDEEM,34,bh,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*:*&sfield=latlon&pt=[[LAT]],[[LON]]&d=15&indent=true&wt=json&start=0&fq={!bbox}&sort=geodist()%20asc&facet=true&fq=redemption_usable_balance_percent:[25%20TO%20*]&fq=-m_category_id:1&fq=-merchant_id:251485&fq=-merchant_id:1090352&fq=is_parent_merchant:false&fq=is_local_merchant:true&fq=_query_:%22{!frange%20l=1%20u=1}strdist(option_id,voucher_merchant_user_id,edit)%22",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_nocashinwofood,,dynamic,23b6cedd-e437-4641-9f14-4e5f740feb92,URL_VOUCHER_FILTER_LIST,URL_VOUCHER_FILTER_LIST,35,list,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*:*&sfield=latlon&pt=[[LAT]],[[LON]]&d=15&indent=true&wt=json&start=0&fq={!bbox}&sort=geodist()%20asc&facet=true&fq=redemption_usable_balance_percent:[25%20TO%20*]&fq=-m_category_id:1&fq=-merchant_id:251485&fq=-merchant_id:1090352&fq=is_parent_merchant:false&fq=is_local_merchant:true&fq=_query_:%22{!frange%20l=1%20u=1}strdist(option_id,voucher_merchant_user_id,edit)%22",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_festivalhomedelivery,,static,556f7f9e-fb65-417b-b069-871479a9c711,Pick Some Scrumptious Savings!,commerce_festivalhomedelivery,-1,large_rectangle_merchant,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
commerce_roabasedhighbalance,,static,7c6a4c91-91d0-44bd-9041-824803e98e28,Save Big on Online Brands,commerce_roabasedhighbalance,-1,one_click_widget,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_onlinefashionbeauty,,dynamic,e92c001d-88a3-419b-ae1b-9d7c4f9e6829,Top Fashion & Beauty Brands Online,search_collection_onlinefashionbeauty,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*&indent=true&wt=json&facet=true&fq=(primary_subcategory_s:""Beauty Online"" OR secondary_subcategory_s:""Beauty Online"" OR primary_subcategory_s:""Fashion Online"")&fq=m_category_id:6&fq=-merchant_id:(1420834 OR 2237190 OR 1420828 OR 1163662)",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_onlinefoodgrocery,,dynamic,bcb97d84-2257-4051-9294-ea68c160a242,Save Big on Daily Essentials Online!,search_collection_onlinefoodgrocery,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*&indent=true&wt=json&facet=true&fq=(primary_subcategory_s:""Food Online"" OR primary_subcategory_s:""Grocery Online"" OR secondary_subcategory_s:""Grocery Online"")&fq=m_category_id:6&fq=-merchant_id:(1372143)",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_onlineelectronicsdiscover,,dynamic,7d0af060-f178-4e17-b8dd-2a620eeff66f,Top Offers on Electronics Online!,search_collection_onlineelectronicsdiscover,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*&indent=true&wt=json&facet=true&fq=(primary_subcategory_s:""Electronics Online"")",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_fashionaccessoriesvoucher,,dynamic,0c91d8e6-0b97-4307-bbd6-f25573d35a69,Accessorise Your Outfit of the Day!,search_collection_fashionaccessoriesvoucher,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*&wt=json&indent=true&d=20&fq=%7b!bbox%7d&sfield=latlon&pt=[[LAT]],[[LON]]&fq=(primary_subcategory_s:(""Fashion Accessories"") OR parent_merchant_id:(1289121 OR 319757 OR 1155972 OR 1355040 OR 319758 OR 1363525 OR 1168376 OR 1273782))",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_diwaligiftfashion,,dynamic,f20f62e4-21f9-499f-9fbd-8adf405de862,Save Big on Top Brands!,search_collection_diwaligiftfashion,8,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*&indent=true&wt=json&facet=true&fq={!bbox}&pt=[[LAT]],[[LON]]&sfield=latlon&d=10&fq=(parent_merchant_id:(1847243 OR 319757 OR 1363525 OR 1355040 OR 1155972 OR 319758 OR 1273782 OR 1289121 OR 1420881 OR 1946352 OR 1867714 OR 2225061 OR 319799 OR 1273782 OR 346124 OR 1273782) OR redemption_option_id:(91594 OR 99768 OR 60788 OR 69106 OR 51784 OR 49086 OR 40740 OR 41082 OR 223075 OR 981657 OR 981658 OR 981659 OR 45866 OR 68596  OR 38931 OR 95402 OR 1404591 OR 1404592 OR 1404593 OR 1404594 OR 1404595 OR 87163 OR 1404651 OR 1404652 OR 14046513 OR 1404654 OR 1404655 OR 98901 OR 233315 OR 57815 OR 234267 OR 57815))&fq=redemption_usable_balance_percent:[20 TO *]",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
search_collection_jewelryluxuryfurniture,,dynamic,48cb950a-5b5c-49d6-ba67-c7be50823194,Big Savings on your Big Spends,search_collection_jewelryluxuryfurniture,-1,hw,default redeem,04e32b65-0964-4cc7-9379-19be032cad09,,"voucher/select?q=*&indent=true&wt=json&facet=true&fq={!bbox}&pt=[[LAT]],[[LON]]&sfield=latlon&d=10&fq=parent_merchant_id:(1420083 OR 1145206 OR 2225061 OR 1363525 OR 1171557 OR 1832782 OR 319791 OR 1145173 OR 393041 OR 1145174 OR 1466314 OR 1145188 OR 1145157 OR 1354475 OR 1145162 OR 1354520 OR 346134 OR 1354515 OR 1774585 OR 1774572 OR 1774583 OR 1774588 OR 1354509 OR 1774589 OR 1356525 OR 1354521 OR 1832776 OR 1354498 OR 1354501 OR 1848594)",0001-01-01T00:00:00Z,0001-01-01T00:00:00Z
